# n	Theoretical	ciLow	ave	ciHigh	RelErr
100	2.203254472699722	2.2305912822201632	2.6	2.969408717779837	0.1420802760691681
200	2.4055342630038425	2.673784283725901	2.9	3.126215716274099	0.07800541940486178
400	2.582908696935918	3.0	3.0	3.0	0.0
800	2.740843764531651	3.0	3.0	3.0	0.0
1000	2.788216973420878	3.0	3.0	3.0	0.0
2000	2.9261707207418612	3.0	3.0	3.0	0.0
4000	3.0520766818369194	3.0	3.0	3.0	0.0
8000	3.1678711976570746	2.898379044967868	3.2	3.5016209550321324	0.09425654844754129
10000	3.203254472699722	2.873784283725901	3.1	3.326215716274099	0.0729728117013223
20000	3.3079366654667703	2.898379044967868	3.2	3.5016209550321324	0.09425654844754129
40000	3.405534263003842	2.873784283725901	3.1	3.326215716274099	0.0729728117013223
80000	3.496945712519461	2.9544497855950955	3.3	3.645550214404904	0.10471218618330434
100000	3.525182567587084	3.122973806209835	3.5	3.877026193790165	0.10772176965433293
200000	3.6095271767650843	3.354449785595096	3.7	4.045550214404905	0.09339194983916332
400000	3.68921190572441	3.673784283725901	3.9	4.126215716274099	0.05800402981387158
800000	3.7647248071664645	4.0	4.0	4.0	0.0
1000000	3.7882169734208784	4.0	4.0	4.0	0.0
