# n	Lowerbound	3*Lowerbound	ciLow	ave	ciHigh	RelErr
100	3.0154738238809906	9.046421471642972	4.103100053882158	4.325	4.5468999461178425	0.05130634592320046
200	3.177612685603437	9.532838056810311	4.347267260751055	4.575	4.802732739248945	0.04977764792326681
400	3.3465589395509237	10.03967681865277	4.626187722008627	4.85	5.073812277991372	0.04614686144152014
800	3.5185720231750044	10.555716069525014	5.185155837590134	5.4	5.614844162409867	0.03978595600182703
1000	3.574249916581999	10.722749749745997	5.260757194393025	5.55	5.8392428056069745	0.05211582083008557
2000	3.747486162352814	11.242458487058443	5.779498719336699	6.05	6.320501280663301	0.04471095548153734
4000	3.9205385486777398	11.761615646033219	6.092609361843104	6.3	6.507390638156895	0.03291914891379292
8000	4.092901344679497	12.27870403403849	6.492609361843105	6.7	6.907390638156896	0.030953826590581403
10000	4.148191313801706	12.444573941405118	6.4961185385104905	6.725	6.953881461489509	0.03403441806535453
20000	4.319221866822944	12.957665600468832	6.826824191133382	7.025	7.2231758088666185	0.02821007955396694
40000	4.4890790104883465	13.46723703146504	7.076333463081221	7.25	7.423666536918779	0.023954005092245358
80000	4.657696664045312	13.973089992135936	7.295154128624389	7.5	7.704845871375611	0.027312782850081502
100000	4.711710714547694	14.135132143643082	7.564005023525696	7.775	7.985994976474305	0.027137617552965235
200000	4.878655738566527	14.635967215699582	7.911141438195965	8.1	8.288858561804034	0.02331587182765863
400000	5.044340349645121	15.133021048935362	8.249269282662333	8.425	8.600730717337669	0.020858245381325625
800000	5.208784566964428	15.626353700893283	8.411141438195965	8.6	8.788858561804034	0.021960297884190107
1000000	5.261464353591485	15.784393060774455	8.634930239402829	8.825	9.01506976059717	0.021537649926024985
