# peoples	Theoretical	Simulations	ciLow	ciHigh	RelErr
1	4.999987500031722e-06	0.0	0.0	0.0	0
11	0.0006048170244019602	0.0	0.0	0.0	0
21	0.0022025707733096533	0.0	0.0	0.0	0
31	0.004793474454970692	0.0	0.0	0.0	0
41	0.008369776740413282	0.0	0.0	0.0	0
51	0.012920800388048992	0.0	0.0	0.0	0
61	0.018432995354773718	0.0	0.0	0.0	0
71	0.024890006011333954	0.0	0.0	0.0	0
81	0.03227275199532553	0.01	0.0	0.02974270939245135	0
91	0.04055952214246927	0.01	0.0	0.02974270939245135	0
101	0.04972608084904728	0.02	0.0	0.047779037321121556	0
111	0.059745786136359835	0.02	0.0	0.047779037321121556	0
121	0.07058971861245988	0.05	0.006754994131566543	0.09324500586843346	0
131	0.08222682045786678	0.03	0.0	0.06384820558021405	0
141	0.09462404350100428	0.05	0.006754994131566543	0.09324500586843346	0
151	0.10774650539621788	0.1	0.04047349145473951	0.15952650854526051	0
161	0.12155765287278486	0.08	0.026169543507028978	0.13383045649297104	0
171	0.13601943098763714	0.13	0.0632701024581175	0.19672989754188253	0
181	0.15109245728777	0.12	0.05552058113125509	0.18447941886874492	0
191	0.1667361997706316	0.14	0.07115024502274603	0.208849754977254	0
201	0.1829091575221894	0.12	0.05552058113125509	0.18447941886874492	0
211	0.19956904291279554	0.19	0.11215898943681976	0.2678410105631802	0
221	0.2166729642402524	0.19	0.11215898943681976	0.2678410105631802	0
231	0.23417760772738483	0.13	0.0632701024581175	0.19672989754188253	0
241	0.25203941780762196	0.27	0.1819088118430689	0.35809118815693114	0
251	0.27021477466619215	0.24	0.1552574413589391	0.3247425586410609	0
261	0.2886601680460612	0.26	0.17296544975643818	0.34703455024356183	0
271	0.30733236637617445	0.21	0.12918120914802259	0.29081879085197737	0
281	0.32618858033430453	0.3	0.20907175624496938	0.3909282437550306	0
291	0.34518662001721967	0.29	0.19996376441100264	0.38003623558899735	0
301	0.3642850449563074	0.36	0.2647575863275832	0.45524241367241675	0
311	0.38344330628649015	0.35	0.255358883291992	0.44464111670800793	0
321	0.40262188044953595	0.37	0.2742011507442003	0.4657988492557997	0
331	0.42178239388893646	0.4	0.30279361859645954	0.4972063814035405	0
341	0.4408877382716584	0.43	0.33176623010382855	0.5282337698961714	0
351	0.4599021758515014	0.48	0.3808685528755208	0.5791314471244792	0
361	0.4787914346687898	0.48	0.3808685528755208	0.5791314471244792	0
371	0.4975227933609564	0.47	0.37096789296172605	0.5690321070382739	0
381	0.5160651554375326	0.47	0.37096789296172605	0.5690321070382739	0
391	0.5343891129504953	0.5	0.40078915242456586	0.5992108475754341	0
401	0.552466999566184	0.54	0.44110713672834856	0.6388928632716515	0
411	0.5702729331175116	0.54	0.44110713672834856	0.6388928632716515	0
421	0.5877828477844202	0.56	0.4615060607557376	0.6584939392442625	0
431	0.6049745161159732	0.56	0.4615060607557376	0.6584939392442625	0
441	0.6218275611687044	0.62	0.5236887989821444	0.7163112010178556	0
451	0.6383234590925022	0.61	0.5132198309029848	0.7067801690970151	0
461	0.6544455325470437	0.61	0.5132198309029848	0.7067801690970151	0
471	0.6701789353784011	0.64	0.5447575863275832	0.7352424136724168	0
481	0.6855106290266872	0.65	0.555358883291992	0.744641116708008	0
491	0.7004293511713842	0.66	0.5660059025921921	0.753994097407808	0
501	0.7149255771512241	0.67	0.5766995954485893	0.7633004045514108	0
511	0.7289914747201459	0.7	0.6090717562449693	0.7909282437550306	0
521	0.7426208527199882	0.71	0.6199637644110026	0.8000362355889973	0
531	0.7558091042642721	0.73	0.6419088118430688	0.8180911881569312	0
541	0.7685531450358325	0.74	0.6529654497564382	0.8270345502435618	0
551	0.780851347304348	0.77	0.68649770033844	0.85350229966156	0
561	0.7927034702682274	0.79	0.7091812091480226	0.8708187908519774	0
571	0.8041105873190978	0.79	0.7091812091480226	0.8708187908519774	0
581	0.8150750108165947	0.78	0.6978045462407868	0.8621954537592132	0
591	0.8256002149466017	0.79	0.7091812091480226	0.8708187908519774	0
601	0.8356907572178673	0.8	0.7206313219396527	0.8793686780603474	0
611	0.8453521991303978	0.81	0.7321589894368198	0.8878410105631803	0
621	0.8545910265245616	0.81	0.7321589894368198	0.8878410105631803	0
631	0.8634145700928156	0.81	0.7321589894368198	0.8878410105631803	0
641	0.8718309265067686	0.85	0.7791492832704963	0.9208507167295037	0
651	0.8798488805813063	0.88	0.8155205811312551	0.9444794188687449	0
661	0.8874778288650923	0.88	0.8155205811312551	0.9444794188687449	0
671	0.8947277050133049	0.89	0.8279158840319791	0.9520841159680209	0
681	0.9016089072643139	0.9	0.8404734914547396	0.9595265085452604	0
691	0.9081322283075005	0.89	0.8279158840319791	0.9520841159680209	0
701	0.9143087877948839	0.91	0.8532153299751952	0.9667846700248048	0
711	0.9201499677149524	0.92	0.866169543507029	0.9738304564929711	0
721	0.9256673508133855	0.92	0.866169543507029	0.9738304564929711	0
731	0.9308726622124417	0.93	0.8793732964846019	0.9806267035153982	0
741	0.9357777143489269	0.93	0.8793732964846019	0.9806267035153982	0
751	0.9403943553200291	0.94	0.8928774582857727	0.9871225417142272	0
761	0.9447344206971188	0.94	0.8928774582857727	0.9871225417142272	0
771	0.9488096888399921	0.95	0.9067549941315665	0.9932450058684335	0
781	0.9526318397181327	0.95	0.9067549941315665	0.9932450058684335	0
791	0.9562124172214688	0.95	0.9067549941315665	0.9932450058684335	0
801	0.9595627949208934	0.95	0.9067549941315665	0.9932450058684335	0
811	0.9626941452185539	0.95	0.9067549941315665	0.9932450058684335	0
821	0.9656174118096198	0.97	0.9361517944197859	1.0	0
831	0.9683432853609304	0.97	0.9361517944197859	1.0	0
841	0.9708821822975892	0.98	0.9522209626788785	1.0	0
851	0.9732442265761805	0.98	0.9522209626788785	1.0	0
861	0.9754392343127942	0.98	0.9522209626788785	1.0	0
871	0.9774767011253996	0.98	0.9522209626788785	1.0	0
881	0.9793657920432283	0.98	0.9522209626788785	1.0	0
891	0.9811153338306369	0.98	0.9522209626788785	1.0	0
901	0.9827338095693212	0.98	0.9522209626788785	1.0	0
911	0.9842293553406505	0.99	0.9702572906075486	1.0	0
921	0.985609758849167	0.99	0.9702572906075486	1.0	0
931	0.9868824598288618	0.99	0.9702572906075486	1.0	0
941	0.9880545520755507	0.99	0.9702572906075486	1.0	0
