# peoples	Theoretical	Simulations	ciLow	ciHigh	RelErr
1	4.999987500031722e-06	0.0	0.0	0.0	0
101	0.04972608084904728	0.043	0.030411766891301213	0.05558823310869878	0
201	0.1829091575221894	0.168	0.14479984513427957	0.19120015486572045	0
301	0.3642850449563074	0.366	0.3361076711373004	0.3958923288626996	0
401	0.552466999566184	0.554	0.5231541393968747	0.5848458606031254	0
501	0.7149255771512241	0.701	0.6725901341479854	0.7294098658520145	0
601	0.8356907572178673	0.833	0.8098550996021433	0.8561449003978566	0
701	0.9143087877948839	0.902	0.8835502329728713	0.9204497670271288	0
801	0.9595627949208934	0.95	0.9364754948157442	0.9635245051842557	0
901	0.9827338095693212	0.976	0.9665025916876132	0.9854974083123867	0
