# peoples	Theoretical	Simulations	ciLow	ciHigh	RelErr	ciLowPeople	meanPeople	ciHighPeople	peopleRelErr
1	0.0013689251796440427	0.0	0.0	0.0	0	0.0	0.0	0.0	0
2	0.005464467239402859	0.004	8.317430868156912e-05	0.007916825691318432	0	0.00016634861736313823	0.008	0.015833651382636864	0
3	0.012253079239301079	0.008	0.0024719061238052823	0.013528093876194719	0	0.007415718371415844	0.024	0.04058428162858416	0
4	0.021679358337463372	0.019	0.01052800122970124	0.02747199877029876	0	0.042112004918804964	0.076	0.10988799508119504	0
5	0.03366679868119837	0.03	0.019414263620634333	0.04058573637936566	0	0.09707131810317166	0.15	0.20292868189682833	0
6	0.04811882531956668	0.048	0.03473480395452939	0.061265196045470614	0	0.20840882372717634	0.288	0.3675911762728236	0
7	0.06492008959462314	0.066	0.05059293248156618	0.08140706751843382	0	0.35415052737096325	0.462	0.5698494726290368	0
8	0.0839380017108915	0.085	0.06769408406399034	0.10230591593600967	0	0.5415526725119227	0.68	0.8184473274880774	0
9	0.10502447201048959	0.092	0.07406458550614668	0.10993541449385331	0	0.6665812695553202	0.828	0.9894187304446798	0
10	0.12801782898845826	0.114	0.09427832187275993	0.13372167812724006	0	0.9427832187275992	1.14	1.3372167812724005	0
11	0.15274487934325298	0.138	0.11659733982180076	0.15940266017819926	0	1.2825707380398081	1.518	1.7534292619601919	0
12	0.17902307342338153	0.16	0.13725037646563787	0.18274962353436214	0	1.6470045175876544	1.92	2.1929954824123454	0
13	0.2066627383323455	0.18	0.15615936829930246	0.20384063170069752	0	2.030071787890932	2.34	2.6499282121090677	0
14	0.23546934069671654	0.211	0.1856805475727719	0.2363194524272281	0	2.5995276660188065	2.954	3.308472333981194	0
15	0.26524574166988535	0.237	0.21061172375225345	0.2633882762477465	0	3.1591758562838024	3.555	3.950824143716198	0
16	0.2957944080985949	0.262	0.23471314981435787	0.28928685018564215	0	3.755410397029726	4.192	4.628589602970274	0
17	0.32691954586268324	0.318	0.289101165543039	0.346898834456961	0	4.914719814231662	5.406	5.897280185768337	0
18	0.3584291241348333	0.332	0.30277652528154386	0.3612234747184562	0	5.449977455067789	5.976	6.502022544932211	0
19	0.3901367626061115	0.364	0.3341424732861153	0.3938575267138847	0	6.348706992436191	6.916	7.48329300756381	0
20	0.42186345748271603	0.389	0.35874689284168315	0.4192531071583169	0	7.1749378568336635	7.78	8.385062143166337	0
21	0.4534391261696178	0.419	0.38838250486028153	0.44961749513971844	0	8.156032602065912	8.799	9.441967397934087	0
22	0.48470395490313967	0.47	0.43902855675123026	0.5009714432487697	0	9.658628248527066	10.34	11.021371751472934	0
23	0.5155095380615168	0.493	0.46197569800778193	0.5240243019922181	0	10.625441054178985	11.339	12.052558945821016	0
24	0.5457198023571386	0.527	0.4960179280715849	0.5579820719284152	0	11.904430273718036	12.648	13.391569726281963	0
25	0.5752117134891762	0.566	0.5352441552323315	0.5967558447676684	0	13.38110388080829	14.15	14.91889611919171	0
26	0.6038757670118253	0.584	0.5534136489501331	0.6145863510498668	0	14.38875487270346	15.184	15.979245127296538	0
27	0.6316162690635074	0.617	0.5868340818106458	0.6471659181893542	0	15.844520208887436	16.659	17.473479791112563	0
28	0.6583514161309773	0.65	0.6204018013674149	0.6795981986325852	0	17.371250438287618	18.2	19.02874956171238	0
29	0.6840131861284773	0.669	0.6397987370066148	0.6982012629933853	0	18.55416337319183	19.401	20.24783662680817	0
30	0.7085470557100684	0.703	0.6746449467598927	0.7313550532401072	0	20.239348402796782	21.09	21.940651597203217	0
31	0.7319115608726491	0.726	0.6983230536651562	0.7536769463348437	0	21.648014663619843	22.506	23.363985336380157	0
32	0.7540777195328239	0.74	0.712780689877588	0.767219310122412	0	22.808982076082817	23.68	24.551017923917183	0
33	0.7750283358721004	0.763	0.7366117237522535	0.7893882762477465	0	24.308186883824362	25.179	26.049813116175635	0
34	0.7947572068549014	0.794	0.7689031947087827	0.8190968052912174	0	26.14270862009861	26.996	27.849291379901388	0
35	0.8132682514576343	0.811	0.7867050556229992	0.8352949443770009	0	27.53467694680497	28.385	29.23532305319503	0
36	0.8305745828401441	0.827	0.8035279843407807	0.8504720156592193	0	28.927007436268102	29.772	30.616992563731895	0
37	0.8466975429874106	0.839	0.8161929823673052	0.8618070176326947	0	30.199140347590294	31.043	31.886859652409704	0
38	0.8616657183000587	0.86	0.8384678288411495	0.8815321711588505	0	31.86177749596368	32.68	33.49822250403632	0
39	0.8755139532724399	0.862	0.8405973398218007	0.8834026601781992	0	32.78329625305023	33.618	34.45270374694977	0
40	0.8882823778245881	0.876	0.8555479203426327	0.8964520796573673	0	34.22191681370531	35.04	35.858083186294685	0
41	0.900015462107828	0.892	0.8727394411193395	0.9112605588806605	0	35.78231708589292	36.572	37.361682914107085	0
42	0.9107611107407521	0.906	0.8878906607123634	0.9241093392876366	0	37.29140774991926	38.052	38.81259225008074	0
43	0.9205698065076228	0.92	0.9031649857991704	0.9368350142008297	0	38.83609438936433	39.56	40.28390561063568	0
44	0.929493811616055	0.934	0.9185929324815663	0.9494070675184338	0	40.418089029188906	41.096	41.77391097081109	0
45	0.9375864327111807	0.941	0.926378383213344	0.9556216167866559	0	41.687027244600486	42.345	43.00297275539951	0
46	0.9449013540197461	0.946	0.9319745427749716	0.9600254572250283	0	42.8708289676487	43.516	44.1611710323513	0
47	0.9514920412838161	0.952	0.9387348039545294	0.9652651960454706	0	44.120535785862884	44.744	45.367464214137115	0
48	0.9574112175674337	0.962	0.9501353777863513	0.9738646222136487	0	45.606498133744864	46.176	46.74550186625514	0
49	0.9627104106016212	0.966	0.9547538828910962	0.9772461171089037	0	46.78294026166372	47.334	47.88505973833629	0
50	0.967439570087906	0.972	0.961762669409537	0.9822373305904629	0	48.088133470476855	48.6	49.11186652952315	0
51	0.9716467523164392	0.977	0.9676977977075004	0.9863022022924995	0	49.352587683082525	49.827	50.30141231691747	0
52	0.9753778685744153	0.979	0.970102344777229	0.987897655222771	0	50.44532192841591	50.908	51.370678071584095	0
53	0.9786764931215609	0.983	0.9749781266781067	0.9910218733218933	0	51.673840713939654	52.099	52.52415928606034	0
54	0.9815837259852402	0.986	0.9787091686019226	0.9932908313980774	0	52.85029510450382	53.244	53.63770489549618	0
55	0.9841381054679488	0.989	0.9825275445736802	0.9954724554263198	0	54.03901495155241	54.395	54.750985048447596	0
56	0.9863755650514506	0.99	0.9838256367372963	0.9961743632627037	0	55.09423565728859	55.44	55.7857643427114	0
