day	mean(S_t)	ciLow(S_t)	ciHigh(S_t)	relerr(S_t)	mean(I_t)	ciLow(I_t)	ciHigh(I_t)	relerr(I_t)	mean(R_t)	ciLow(R_t)	ciHigh(R_t)	relerr(R_t)	mean(RT)	ciLow(RT)	ciHigh(RT)	relerr(RT)
0	9999.0	9999.0	9999.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0	2.625	1.5361076794632902	3.7138923205367096	0.4148161221092228
1	9999.0	9999.0	9999.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0	2.625	1.5361076794632902	3.7138923205367096	0.4148161221092228
2	9999.0	9999.0	9999.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0	2.6875	1.6651124785613978	3.7098875214386022	0.3804232637911078
3	9998.75	9998.362997513557	9999.137002486443	3.870508678007234e-05	1.25	0.8629975135577517	1.6370024864422483	0.30960198915379866	0.0	0.0	0.0	0	2.4375	1.216101014454451	3.658898985545549	0.501086763300738
4	9998.375	9997.609100014575	9999.140899985425	7.660244644003835e-05	1.625	0.8591000145750816	2.3908999854249187	0.47132306795379597	0.0	0.0	0.0	0	2.0625	0.8686613900728395	3.2563386099271607	0.578830841176805
5	9998.125	9997.4273213457	9998.8226786543	6.978094935798381e-05	1.875	1.177321345700208	2.572678654299792	0.37209528229322236	0.0	0.0	0.0	0	1.7916666666666665	0.8270313952169978	2.7563019381163354	0.5384010817393501
6	9997.75	9997.008946657423	9998.491053342577	7.41220117104175e-05	1.875	1.177321345700208	2.572678654299792	0.37209528229322236	0.375	-0.24701947048082573	0.9970194704808257	1.6587185879488686	1.7083333333333333	1.1622975458565368	2.2543691208101295	0.31963070486446626
7	9997.375	9996.382028741751	9998.367971258249	9.93231981643464e-05	2.25	1.2760651004409707	3.2239348995590293	0.43285995535956867	0.375	-0.24701947048082573	0.9970194704808257	1.6587185879488686	1.5520833333333333	1.0567337284345286	2.047432938232138	0.319151423290505
8	9997.25	9996.276065100441	9998.223934899559	9.742028053304953e-05	2.375	1.3820287417517174	3.3679712582482826	0.41809316136769786	0.375	-0.24701947048082573	0.9970194704808257	1.6587185879488686	1.6354166666666665	1.0490449873862262	2.2217883459471066	0.3585457401969572
9	9996.875	9995.933647442931	9997.816352557069	9.416468216999901e-05	2.625	1.5361076794632902	3.7138923205367096	0.4148161221092228	0.5	-0.27400497288449666	1.2740049728844967	1.5480099457689933	1.5041666666666667	1.2318608178277655	1.7764725155055678	0.18103435933888165
10	9996.5	9995.500763876713	9997.499236123287	9.99585978380226e-05	2.75	1.6784386370367304	3.8215613629632696	0.389658677441189	0.75	0.008946657422173376	1.4910533425778265	0.9880711234371021	1.5270833333333333	1.1250408105470395	1.9291258561196272	0.2632747761765634
11	9996.25	9995.384636132854	9997.115363867146	8.656885003339333e-05	3.0	1.9053916700025253	4.094608329997475	0.36486944333249155	0.75	0.008946657422173376	1.4910533425778265	0.9880711234371021	1.7035714285714287	1.2374227068701402	2.1697201502727173	0.27363027688964514
12	9995.5	9994.317687874494	9996.682312125506	0.00011828444054876191	3.625	2.147109843118563	5.102890156881437	0.4076938363810861	0.875	0.17732134570020808	1.572678654299792	0.7973470334854765	1.9465277777777779	1.3503471938552414	2.5427083617003143	0.3062790013729763
13	9994.375	9992.89710984312	9995.85289015688	0.0001478721937971546	4.75	2.9765318117422757	6.523468188257724	0.3733617238437314	0.875	0.17732134570020808	1.572678654299792	0.7973470334854765	1.6654761904761903	1.0662452061174357	2.264707174834945	0.359795587463441
14	9994.125	9992.5490237423	9995.7009762577	0.00015769026880285526	5.0	3.1574996276030394	6.842500372396961	0.36850007447939215	0.875	0.17732134570020808	1.572678654299792	0.7973470334854765	1.643452380952381	1.046213305654386	2.240691456250376	0.36340515990606
15	9993.75	9991.482372368548	9996.017627631452	0.00022690457850685415	5.25	2.653908398561076	7.846091601438924	0.49449363836931887	1.0	0.3680275860187512	1.6319724139812488	0.6319724139812488	1.5427083333333331	1.0400264940838506	2.045390172582816	0.32584373104625475
16	9992.5	9989.535786629689	9995.464213370311	0.0002966438198960527	6.375	3.062792243753518	9.687207756246481	0.5195620009798403	1.125	0.5892193185183652	1.6607806814816348	0.47624949465034205	1.4645833333333331	1.0044071251914972	1.924759541475169	0.31420281636995906
17	9991.625	9987.887870257699	9995.362129742301	0.00037402622119032367	7.0	2.90435065644066	11.09564934355934	0.58509276336562	1.375	0.6091000145750816	2.1408999854249187	0.5570181712181225	1.5205800960735172	1.1029565361645672	1.9382036559824671	0.2746475249724422
18	9991.0	9987.129975135578	9994.870024864422	0.0003873511024344394	7.125	3.5100984572586063	10.739901542741393	0.5073546024900202	1.875	1.177321345700208	2.572678654299792	0.37209528229322236	1.5094246031746033	1.0992666828720399	1.9195825234771666	0.27173130704238174
19	9990.125	9986.117141263223	9994.132858736777	0.00040118204094318166	7.625	4.108100487267818	11.14189951273218	0.4612327229812697	2.25	1.384636132853692	3.115363867146308	0.38460616317613694	1.352389705882353	0.9959282664598308	1.7088511453048754	0.26357893576981395
20	9989.5	9985.453402118648	9993.546597881352	0.0004050851275191231	7.75	4.23842778067605	11.26157221932395	0.4531060928159936	2.75	2.0089466574221735	3.4910533425778265	0.2694739427555733	1.4721320346320348	1.0524207295481958	1.8918433397158738	0.28510438955888057
21	9988.0	9982.656188350964	9993.343811649036	0.000535023192734949	8.75	4.19826283445246	13.30173716554754	0.5201985332054332	3.25	2.1784386370367304	4.321561362963269	0.329711188604083	1.353625541125541	0.9760728154765353	1.7311782667745463	0.2789196230259294
22	9986.875	9980.822606097281	9992.927393902719	0.0006060348109613521	8.875	3.4122299417683557	14.337770058231644	0.6155233868430022	4.25	2.7848322332651056	5.715167766734894	0.34474535687879865	1.3744026806526808	0.9455010028023882	1.8033043585029733	0.31206405799980996
23	9986.125	9979.535532100523	9992.714467899477	0.000659862348956924	9.125	3.680538397316451	14.56946160268355	0.5966533263214848	4.75	2.9210976021726096	6.57890239782739	0.3850320837531348	1.4369642857142857	0.9637935225360366	1.9101350488925348	0.32928498493826214
24	9985.25	9978.71664607678	9991.78335392322	0.0006543004855381946	9.625	4.751482538699124	14.498517461300876	0.5063394764987923	5.125	2.9615903321342296	7.28840966786577	0.4221287156811259	1.3734953703703705	0.9900670595953324	1.7569236811454085	0.2791624340689584
25	9984.0	9976.337741690018	9991.662258309982	0.0007674537570094475	10.0	4.105353743701326	15.894646256298675	0.5894646256298673	6.0	3.39431098467874	8.60568901532126	0.43428150255354336	1.386574074074074	0.9455105999921616	1.8276375481559863	0.31809586110748944
26	9983.0	9974.981169021774	9991.018830978226	0.0008032486204774256	10.0	4.004583260273241	15.995416739726759	0.5995416739726759	7.0	4.103938575806959	9.896061424193041	0.4137230605990059	1.4111706002331004	0.8829328630104679	1.939408337455733	0.3743259228440395
27	9981.75	9973.50100470541	9989.99899529459	0.0008264077235545071	9.875	4.790910564439362	14.959089435560639	0.5148444998036089	8.375	4.611247447452788	12.138752552547212	0.44940328985638345	1.5142460317460316	0.9762037396456208	2.0522883238464424	0.35532025894101926
28	9980.125	9971.35175805138	9988.89824194862	0.0008790713491685542	11.0	5.904875508668737	16.095124491331262	0.46319313557556935	8.875	4.4866011222508435	13.263398877749157	0.49446747918300354	1.4790967712842713	0.9848236600073196	1.9733698825612231	0.3341722603097726
29	9977.875	9967.83839561181	9987.91160438819	0.0010058859615087676	12.375	6.135772526757063	18.614227473242938	0.5041799978378131	9.75	5.089872957277883	14.410127042722117	0.47796174797149915	1.3958938539530645	0.9302230193100244	1.8615646885961046	0.3336004620439412
30	9976.0	9964.092727353764	9987.907272646236	0.0011935918851480258	14.125	6.1381399829506496	22.111860017049352	0.5654414171362372	9.875	5.136523687249628	14.613476312750372	0.47984570255699965	1.3938581438581439	0.8917043978085134	1.8960118899077743	0.3602617298340625
31	9973.375	9960.255387391544	9986.494612608456	0.0013154636829013746	16.125	6.778669611986452	25.47133038801355	0.579617388403941	10.5	5.920924827899462	15.079075172100538	0.43610239734290834	1.3227474250659734	0.8142167291046148	1.831278121027332	0.38445033898742614
32	9970.75	9956.430908001637	9985.069091998363	0.0014361098210629278	17.75	7.750147304443217	27.749852695556783	0.5633719828482694	11.5	5.865158742551277	17.134841257448723	0.489986196299889	1.3121026647420353	0.9566482132416795	1.6675571162423912	0.27090445058294244
