day	mean(S_t)	ciLow(S_t)	ciHigh(S_t)	relerr(S_t)	mean(I_t)	ciLow(I_t)	ciHigh(I_t)	relerr(I_t)	mean(R_t)	ciLow(R_t)	ciHigh(R_t)	relerr(R_t)
0	9999.0	9999.0	9999.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	nan
1	9998.5	9998.12297380621	9998.87702619379	3.770827562035958e-05	1.5	1.1229738062098347	1.8770261937901653	0.25135079586011017	0.0	0.0	0.0	nan
2	9998.3	9997.954449785595	9998.645550214404	3.456089679294523e-05	1.7	1.3544497855950957	2.045550214404904	0.2032648320028849	0.0	0.0	0.0	nan
3	9998.3	9997.954449785595	9998.645550214404	3.456089679294523e-05	1.7	1.3544497855950957	2.045550214404904	0.2032648320028849	0.0	0.0	0.0	nan
4	9998.2	9997.89837904497	9998.501620955032	3.0167525657831622e-05	1.8	1.4983790449678678	2.101620955032132	0.16756719724007343	0.0	0.0	0.0	nan
5	9997.1	9996.388628400298	9997.811371599702	7.115779573091268e-05	2.9	2.1886284002984926	3.6113715997015072	0.2453005516212094	0.0	0.0	0.0	nan
6	9996.9	9996.273637044344	9997.526362955656	6.265571883849116e-05	3.1	2.473637044343488	3.726362955656512	0.2020525663408104	0.0	0.0	0.0	nan
7	9996.8	9996.14263236888	9997.45736763112	6.575780560975963e-05	3.2	2.542632368880355	3.8573676311196454	0.20542738472488906	0.0	0.0	0.0	nan
8	9996.7	9996.111066258429	9997.288933741573	5.891281538623661e-05	3.3	2.711066258428408	3.8889337415715914	0.17846477017320955	0.0	0.0	0.0	nan
9	9995.1	9993.958911678545	9996.241088321456	0.00011416477288433283	4.9	3.7589116785438055	6.041088321456195	0.23287516764412144	0.0	0.0	0.0	nan
10	9994.4	9993.129248329085	9995.670751670914	0.00012714636905813441	5.6	4.329248329085381	6.870751670914618	0.22691994123475331	0.0	0.0	0.0	nan
11	9994.1	9992.863262130179	9995.336737869822	0.00012374679759270276	5.9	4.66326213017877	7.136737869821231	0.20961658810529335	0.0	0.0	0.0	nan
12	9993.9	9992.809879109125	9994.990120890874	0.00010907862704993138	6.1	5.0098791091256905	7.190120890874309	0.1787083427662802	0.0	0.0	0.0	nan
13	9991.5	9989.414394146872	9993.585605853128	0.00020873801262347107	8.5	6.4143941468725885	10.585605853127412	0.2453653944855778	0.0	0.0	0.0	nan
14	9990.4	9988.058791801013	9992.741208198986	0.0002343457918587649	8.1	6.064058553533107	10.135941446466893	0.2513507958601102	1.5	1.1229738062098347	1.8770261937901653	0.25135079586011017
