day	mean(S_t)	ciLow(S_t)	ciHigh(S_t)	relerr(S_t)	mean(I_t)	ciLow(I_t)	ciHigh(I_t)	relerr(I_t)	mean(R_t)	ciLow(R_t)	ciHigh(R_t)	relerr(R_t)	mean(RT)	ciLow(RT)	ciHigh(RT)	relerr(RT)
0	9999.0	9999.0	9999.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0	3.5714285714285716	0.6537812134477905	6.489075929409353	0.8169412602346187
1	9999.0	9999.0	9999.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0	3.5714285714285716	0.6537812134477905	6.489075929409353	0.8169412602346187
2	9999.0	9999.0	9999.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0	3.5	0.5632203231977533	6.436779676802247	0.8390799076577847
3	9998.857142857143	9998.507584021601	9999.206701692685	3.4959878968906166e-05	1.1428571428571428	0.7932983073154741	1.4924159783988116	0.3058639810989601	0.0	0.0	0.0	0	3.2857142857142856	0.2316554614226054	6.339773110005966	0.9294961639148592
4	9998.57142857143	9997.843763828669	9999.29909331419	7.277687097185961e-05	1.4285714285714286	0.7009066858113635	2.1562361713314937	0.5093653199320456	0.0	0.0	0.0	0	2.7380952380952377	0.5367789685163462	4.939411507674129	0.8039589854114213
5	9998.285714285714	9997.406010507806	9999.165418063621	8.798546101274239e-05	1.7142857142857142	0.8345819363771693	2.5939894921942592	0.5131605371133179	0.0	0.0	0.0	0	2.511904761904762	0.37586636038296417	4.647943163426559	0.8503659987100995
6	9998.142857142857	9997.019182699396	9999.266531586318	0.00011238831646202184	1.7142857142857142	0.6852123662137006	2.7433590623577278	0.6002927863753412	0.14285714285714285	-0.20670169268452587	0.49241597839881157	2.446911848791681	2.3809523809523805	0.40354899667088406	4.358355765233877	0.8305094213982287
7	9997.857142857143	9996.50330730857	9999.210978405716	0.00013541257183693334	1.8571428571428572	0.7334684136817826	2.980817300603932	0.6050554695559632	0.2857142857142857	-0.16556423047656105	0.7369928019051324	1.5794748066679638	2.4523809523809526	0.3983612840434536	4.506400620718452	0.8375614181570383
8	9997.857142857143	9996.50330730857	9999.210978405716	0.00013541257183693334	1.8571428571428572	0.7334684136817826	2.980817300603932	0.6050554695559632	0.2857142857142857	-0.16556423047656105	0.7369928019051324	1.5794748066679638	2.4523809523809526	0.3983612840434536	4.506400620718452	0.8375614181570383
9	9998.0	9996.806029274132	9999.193970725868	0.00011942095677807718	1.5714285714285714	0.5227520648035655	2.6201050780535775	0.6673395951250037	0.42857142857142855	-0.29909331418863655	1.1562361713314937	1.6978843997734854	2.4285714285714284	0.3878143342220839	4.469328522920772	0.8403117447320831
10	9997.57142857143	9995.732780109565	9999.410077033293	0.00018390950992444263	2.0	0.31147040640213475	3.688529593597865	0.8442647967989326	0.42857142857142855	-0.29909331418863655	1.1562361713314937	1.6978843997734854	2.3809523809523805	0.35019905809357077	4.41170570381119	0.8529163956007002
11	9997.57142857143	9995.812021015612	9999.330836127247	0.00017598349443035636	2.142857142857143	0.5032808716469739	3.7824334140673117	0.7651355932314122	0.2857142857142857	-0.41340338536905163	0.984831956797623	2.446911848791681	2.3809523809523805	0.3856071855339762	4.376297576370785	0.83804498207573
12	9997.57142857143	9995.812021015612	9999.330836127247	0.00017598349443035636	2.2857142857142856	0.8026617475031632	3.768766823925408	0.648835485467366	0.14285714285714285	-0.20670169268452582	0.4924159783988115	2.446911848791681	2.3428571428571425	0.32588953569830803	4.359824750015977	0.860900807933649
13	9997.714285714286	9996.231233176075	9999.197338252498	0.00014833915991480705	1.8571428571428572	0.7334684136817826	2.980817300603932	0.6050554695559632	0.42857142857142855	-0.29909331418863655	1.1562361713314937	1.6978843997734854	2.9047619047619047	0.5656470213399563	5.243876788183853	0.8052690582272282
14	9997.857142857143	9996.613053843554	9999.101231870733	0.00012443556612308057	1.8571428571428572	0.7334684136817826	2.980817300603932	0.6050554695559632	0.2857142857142857	-0.16556423047656094	0.7369928019051324	1.5794748066679634	2.914285714285714	0.5773774887261709	5.251193939845257	0.8018802734763139
15	9997.42857142857	9995.513958834557	9999.343184022584	0.00019151050495982877	2.2857142857142856	0.5379201080059424	4.033508463422629	0.7646599527474002	0.2857142857142857	-0.16556423047656094	0.7369928019051324	1.5794748066679634	2.870748299319728	0.49887333202349815	5.242623266615958	0.8262218487975018
16	9996.714285714286	9993.954467606301	9999.474103822271	0.00027607252034087074	3.0	0.3841412017668362	5.615858798233164	0.8719529327443879	0.2857142857142857	-0.16556423047656094	0.7369928019051324	1.5794748066679634	2.4535714285714287	0.4162663328735161	4.490876524269341	0.8303426882029338
17	9995.857142857143	9992.462040482644	9999.252245231643	0.0003396509499863168	3.857142857142857	0.6789115818734746	7.03537413241224	0.823985886180951	0.2857142857142857	-0.16556423047656094	0.7369928019051324	1.5794748066679634	2.4761904761904767	0.38308988472071714	4.569291067660236	0.845290623478172
18	9995.57142857143	9992.418932385903	9998.723924756956	0.0003153892909529448	3.857142857142857	1.3283719710980293	6.385913743187685	0.6556072667523628	0.5714285714285714	-0.1562361713314937	1.2990933141886365	1.273413299830114	2.370238095238095	0.3156298189552418	4.424846371520948	0.8668362391148151
19	9994.714285714286	9991.224528202554	9998.204043226018	0.00034916030733564494	4.714285714285714	1.8530233308522113	7.575548097719217	0.6069344449707431	0.5714285714285714	-0.1562361713314937	1.2990933141886365	1.273413299830114	2.2396103896103896	0.16728894355414292	4.311931835666636	0.9253044438755059
20	9994.57142857143	9990.839161530663	9998.303695612196	0.00037342942290631174	4.428571428571429	1.7133894401680876	7.14375341697477	0.6131056102846254	1.0	-0.19397072586721564	2.1939707258672154	1.1939707258672156	2.057823129251701	0.8560065613417733	3.2596396971616284	0.5840232577942457
21	9994.0	9990.4985905109	9997.5014094891	0.0003503511596057676	5.0	2.439218081630481	7.5607819183695195	0.5121563836739038	1.0	-0.3079293991165819	2.307929399116582	1.307929399116582	2.0125850340136053	1.0453680468657196	2.979802021161491	0.4805844080133148
22	9993.857142857143	9990.547083387037	9997.16720232725	0.00033120940421602833	5.0	2.7984267624321895	7.2015732375678105	0.4403146475135621	1.1428571428571428	-0.21097840571539717	2.4966926914296828	1.1846061050009726	2.160910518053375	1.259190888044777	3.0626301480619733	0.4172868901674369
23	9992.142857142857	9987.923946033587	9996.361768252127	0.000422222857457969	6.571428571428571	3.51070876032711	9.632148382530033	0.465761710385005	1.2857142857142858	-0.09787944520851477	2.6693080166370864	1.0761284573844003	2.2218305504019793	1.0977583574325274	3.3459027433714312	0.5059216567015347
24	9991.142857142857	9986.6617728211	9995.623941464613	0.00044850568006374813	7.142857142857143	3.543928659606022	10.741785626108264	0.503849987655157	1.7142857142857142	0.13803762152238663	3.2905338070490417	0.9194780541119412	2.076747062461348	1.1806639406665032	2.9728301842561935	0.4314839962902428
25	9991.142857142857	9987.426995750919	9994.858718534795	0.00037191555010957823	7.142857142857143	3.8761492470097654	10.409565038704521	0.4573391054186329	1.7142857142857142	0.43787731827631116	2.9906941102951174	0.7445715643388184	2.079421768707483	1.2208301381009652	2.9380133993140007	0.41289922204680823
26	9990.857142857143	9987.065329000718	9994.648956713569	0.0003795283830213609	7.142857142857143	3.5045334290568175	10.78118085665747	0.5093653199320456	2.0	1.0751542525714186	2.9248457474285816	0.4624228737142907	2.273992673992674	1.3834820344183765	3.1645033135669713	0.39160664401382606
27	9990.0	9985.93348223992	9994.06651776008	0.00040705883484281095	8.142857142857142	4.239884944862281	12.045829340852004	0.47931237519235137	1.8571428571428572	0.8684411650021092	2.8458445492836053	0.5323778342296335	2.0148459383753505	1.3555909174938852	2.674100959256816	0.32719872439132924
28	9989.285714285714	9984.859502453834	9993.711926117594	0.0004430959288260296	8.714285714285714	3.8875038644744793	13.541067564096949	0.5538929991586663	2.0	0.9320801175264559	3.067919882473544	0.533959941236772	1.9771222929117669	1.3580914496756595	2.5961531361478745	0.3130968911004702
29	9988.142857142857	9982.7652529846	9993.520461301114	0.0005383988029778541	9.857142857142858	3.9974690060676537	15.716816708218062	0.5944596660511077	2.0	1.2448666093390162	2.755133390660984	0.377566695330492	1.7551907719609583	1.2772523621450664	2.2331291817768504	0.27229997869799816
30	9986.714285714286	9980.180869922591	9993.247701505981	0.0006542107448733787	11.285714285714286	4.752298494019531	17.819130077409042	0.5789102600235859	2.0	1.2448666093390162	2.755133390660984	0.377566695330492	1.7315650619222047	1.2401843778297625	2.222945746014647	0.28377835456379685
